particuliere_huishoudens,Mbo_p,Wo_p,Hbo_p
243,-5.944452913347741,13.233628482043317,1.589017893008226
244,-5.979250004239871,13.298820006450121,1.595041112784201
245,-6.0140470951320015,13.364011530856926,1.6010643325601759
246,-6.04884418602413,13.42920305526373,1.607087552336151
247,-6.083641276916261,13.494394579670537,1.613110772112126
248,-6.118438367808389,13.55958610407734,1.6191339918881011
249,-6.15323545870052,13.624777628484146,1.6251572116640762
250,-6.1880325495926485,13.68996915289095,1.631180431440051
251,-6.222829640484779,13.755160677297756,1.6372036512160262
252,-6.257626731376909,13.820352201704562,1.6432268709920013
253,-6.292423822269038,13.885543726111365,1.6492500907679764
254,-6.3272209131611685,13.950735250518171,1.6552733105439512
255,-6.362018004053297,14.015926774924974,1.6612965303199263
256,-6.396815094945428,14.08111829933178,1.6673197500959014
257,-6.431612185837558,14.146309823738587,1.6733429698718765
258,-6.466409276729687,14.21150134814539,1.6793661896478516
259,-6.501206367621817,14.276692872552196,1.6853894094238264
260,-6.536003458513946,14.341884396959,1.6914126291998015
261,-6.570800549406076,14.407075921365806,1.6974358489757766
262,-6.605597640298207,14.472267445772612,1.7034590687517517
263,-6.6403947311903355,14.537458970179415,1.7094822885277265
264,-6.675191822082466,14.602650494586221,1.7155055083037016
265,-6.709988912974595,14.667842018993024,1.7215287280796767
266,-6.744786003866725,14.73303354339983,1.7275519478556518
267,-6.779583094758854,14.798225067806637,1.733575167631627
268,-6.814380185650984,14.86341659221344,1.7395983874076018
269,-6.849177276543115,14.928608116620246,1.7456216071835768
270,-6.883974367435243,14.99379964102705,1.751644826959552
271,-6.918771458327374,15.058991165433856,1.757668046735527
272,-6.9535685492195025,15.124182689840662,1.7636912665115019
273,-6.988365640111633,15.189374214247465,1.769714486287477
274,-7.023162731003763,15.254565738654271,1.775737706063452
275,-7.057959821895892,15.319757263061074,1.7817609258394271
276,-7.092756912788023,15.38494878746788,1.787784145615402
277,-7.127554003680151,15.450140311874684,1.793807365391377
278,-7.162351094572282,15.51533183628149,1.7998305851673522
279,-7.19714818546441,15.580523360688296,1.8058538049433273
280,-7.231945276356541,15.6457148850951,1.8118770247193023
281,-7.266742367248671,15.710906409501906,1.8179002444952772
282,-7.3015394581408,15.776097933908709,1.8239234642712523
283,-7.33633654903293,15.841289458315515,1.8299466840472274
284,-7.371133639925059,15.906480982722321,1.8359699038232025
285,-7.4059307308171896,15.971672507129124,1.8419931235991773
286,-7.44072782170932,16.03686403153593,1.8480163433751524
287,-7.475524912601449,16.102055555942734,1.8540395631511275
